Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3167      ,92916304855         ,2410000        ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,41493.8        ,鑽孔(G5/M1/R1)
leave     ,3167      ,92957965463         ,2415000        ,-7.99585e+06   ,-7.99585e+06   ,-              ,-              ,takeProfit     ,33195          
leave     ,3167      ,92958016240         ,2420000        ,-5.98755e+06   ,-5.98755e+06   ,-              ,-              ,takeProfit     ,24896.3        
leave     ,3167      ,93004599193         ,2425000        ,-1.39751e+07   ,-3.9751e+06    ,-              ,-              ,takeProfit     ,16597.5        
leave     ,3167      ,93004622502         ,2430000        ,-1.19585e+07   ,-1.95851e+06   ,-              ,-              ,takeProfit     ,8298.76        
leave     ,3167      ,93008031151         ,2435000        ,-9.93776e+06   ,62240.7        ,-              ,-              ,takeProfit     ,0              
enter     ,3167      ,94635270276         ,2415000        ,-2.42637e+07   ,-9.93776e+06   ,SignalA        ,StrongGroup    ,-              ,41407.9        ,鑽孔(G5/M1/R1)
leave     ,3167      ,95737038810         ,2430000        ,-2.22513e+07   ,-7.92534e+06   ,-              ,-              ,takeProfit     ,33126.3        
leave     ,3167      ,103241104731        ,2435000        ,-2.64543e+07   ,-5.90877e+06   ,-              ,-              ,takeProfit     ,24844.7        
leave     ,3167      ,103241128877        ,2440000        ,-2.44336e+07   ,-3.88807e+06   ,-              ,-              ,takeProfit     ,16563.1        
leave     ,3167      ,103659600785        ,2445000        ,-2.24087e+07   ,-1.86323e+06   ,-              ,-              ,takeProfit     ,8281.57        
leave     ,3167      ,103701587706        ,2450000        ,-2.03797e+07   ,165760         ,-              ,-              ,takeProfit     ,0              
enter     ,3167      ,110718277250        ,2430000        ,-3.03797e+07   ,-9.83424e+06   ,SignalA        ,StrongGroup    ,-              ,41152.3        ,鑽孔(G5/M1/R1)
leave     ,3167      ,115459145297        ,2460000        ,-2.83551e+07   ,-7.80955e+06   ,-              ,-              ,takeProfit     ,32921.8        
leave     ,3167      ,132000030682        ,2420000        ,-1.05226e+07   ,157530         ,-              ,-              ,timeExit       ,0              
