Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,4989      ,92200288620         ,669000         ,-1e+07         ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,149254         ,PCB上游(G2/M1/R3)
leave     ,4989      ,92839983054         ,660000         ,-149254        ,-149254        ,-              ,-              ,stopLoss       ,0              
enter     ,8086      ,94126698666         ,1160000        ,-1.01493e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,85836.9        ,砷化鎵(G1/M2/R2)
leave     ,8086      ,94126716336         ,1165000        ,-8.14925e+06   ,-8e+06         ,-              ,-              ,takeProfit     ,68669.5        
leave     ,8086      ,94126797207         ,1170000        ,-6.14067e+06   ,-5.99142e+06   ,-              ,-              ,takeProfit     ,51502.1        
enter     ,6182      ,94143083851         ,401000         ,-1.61407e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,249377         ,矽晶圓指標(G9/M1/R1)
leave     ,8086      ,95453715547         ,1175000        ,-1.41235e+07   ,-3.97425e+06   ,-              ,-              ,takeProfit     ,34334.8        
leave     ,8086      ,95455251308         ,1180000        ,-1.20978e+07   ,-1.9485e+06    ,-              ,-              ,takeProfit     ,17167.4        
leave     ,8086      ,95628265030         ,1185000        ,-1.00634e+07   ,85836.9        ,-              ,-              ,takeProfit     ,0              
enter     ,6223      ,95808911797         ,24300000       ,-2.00634e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,4115.23        ,探針卡(G1/M2/R4)
enter     ,3016      ,103254793937        ,628000         ,-3.00634e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,159236         ,矽晶圓指標(G9/M1/R1)
leave     ,3016      ,103624728171        ,641000         ,-2.8022e+07    ,-7.9586e+06    ,-              ,-              ,takeProfit     ,127389         
leave     ,3016      ,103625807048        ,642000         ,-2.59774e+07   ,-5.91401e+06   ,-              ,-              ,takeProfit     ,95541.4        
leave     ,3016      ,103742535259        ,643000         ,-2.39297e+07   ,-3.86624e+06   ,-              ,-              ,takeProfit     ,63694.3        
leave     ,3016      ,103742582415        ,644000         ,-2.18787e+07   ,-1.81529e+06   ,-              ,-              ,takeProfit     ,31847.1        
leave     ,3016      ,103804799662        ,645000         ,-1.98246e+07   ,238854         ,-              ,-              ,takeProfit     ,0              
leave     ,6182      ,110430774220        ,395500         ,-9.96172e+06   ,-137157        ,-              ,-              ,stopLoss       ,0              
enter     ,2303      ,112108774895        ,669000         ,-1.99617e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,149477         ,專業IC代工(G4/M1/R1)
enter     ,3016      ,112538867297        ,633000         ,-2.99617e+07   ,-9.76115e+06   ,SignalA        ,StrongGroup    ,-              ,157978         ,矽晶圓指標(G8/M1/R1)
leave     ,3016      ,122205804294        ,649000         ,-2.79112e+07   ,-7.71059e+06   ,-              ,-              ,takeProfit     ,126382         
leave     ,3016      ,122239493167        ,650000         ,-2.58575e+07   ,-5.65688e+06   ,-              ,-              ,takeProfit     ,94786.7        
leave     ,3016      ,122239555408        ,651000         ,-2.38006e+07   ,-3.60001e+06   ,-              ,-              ,takeProfit     ,63191.2        
leave     ,3016      ,122239588359        ,652000         ,-2.17406e+07   ,-1.53998e+06   ,-              ,-              ,takeProfit     ,31595.6        
leave     ,3016      ,122244621335        ,653000         ,-1.96774e+07   ,523214         ,-              ,-              ,takeProfit     ,0              
leave     ,6223      ,123705170297        ,24700000       ,-1.76444e+07   ,-7.96708e+06   ,-              ,-              ,takeProfit     ,3292.18        
leave     ,6223      ,132000023507        ,24600000       ,-9.56213e+06   ,115226         ,-              ,-              ,timeExit       ,0              
leave     ,2303      ,132000221800        ,681000         ,617238         ,179372         ,-              ,-              ,timeExit       ,0              
