Action    ,Symbol    ,Time                ,Price          ,Cash           ,SymbolCash     ,SignalType     ,EnterCause     ,LeaveCause     ,RemainingQty   ,GroupInfo
enter     ,3016      ,103254793937        ,628000         ,-2.00634e+07   ,-1e+07         ,SignalA        ,StrongGroup    ,-              ,159236         ,矽晶圓指標(G9/M1/R1)
leave     ,3016      ,103624728171        ,641000         ,-1.8022e+07    ,-7.9586e+06    ,-              ,-              ,takeProfit     ,127389         
leave     ,3016      ,103625807048        ,642000         ,-1.59774e+07   ,-5.91401e+06   ,-              ,-              ,takeProfit     ,95541.4        
leave     ,3016      ,103742535259        ,643000         ,-1.39297e+07   ,-3.86624e+06   ,-              ,-              ,takeProfit     ,63694.3        
leave     ,3016      ,103742582415        ,644000         ,-1.18787e+07   ,-1.81529e+06   ,-              ,-              ,takeProfit     ,31847.1        
leave     ,3016      ,103804799662        ,645000         ,-9.82456e+06   ,238854         ,-              ,-              ,takeProfit     ,0              
enter     ,3016      ,112538867297        ,633000         ,-1.99617e+07   ,-9.76115e+06   ,SignalA        ,StrongGroup    ,-              ,157978         ,矽晶圓指標(G8/M1/R1)
leave     ,3016      ,122205804294        ,649000         ,-1.79112e+07   ,-7.71059e+06   ,-              ,-              ,takeProfit     ,126382         
leave     ,3016      ,122239493167        ,650000         ,-1.58575e+07   ,-5.65688e+06   ,-              ,-              ,takeProfit     ,94786.7        
leave     ,3016      ,122239555408        ,651000         ,-1.38006e+07   ,-3.60001e+06   ,-              ,-              ,takeProfit     ,63191.2        
leave     ,3016      ,122239588359        ,652000         ,-1.17406e+07   ,-1.53998e+06   ,-              ,-              ,takeProfit     ,31595.6        
leave     ,3016      ,122244621335        ,653000         ,-9.67736e+06   ,523214         ,-              ,-              ,takeProfit     ,0              
