Symbol,SignalType,EnterCause,EntryTime,ExitTime,LeaveCause,PnL,Return%,HoldingDuration,GroupName,GroupRank,MemberRank,RawMemberRank,M1Symbol,EntryPrice,EntryVWAP,DayHigh,PrevClose,0050OpenChg%,VolRatio,MonthTradingVal,IsPrevDayLU,IsDisposition,HadCircuitBreaker,GroupLimitUpCount,0050EntryChg%
2404,SignalA,StrongGroup,10:37:16,13:20:00,timeExit,-271739,-2.72%,2h42m44s,廠務,6,2,2,6139,920.00,912.21,925.00,877.00,0.390,5.41,1194720500,0,0,1,0,0.312
8299,SignalA,StrongGroup,09:35:09,13:20:00,timeExit,-389610,-3.90%,3h44m51s,記憶體,14,2,2,5289,1155.00,1148.54,1165.00,1125.00,0.390,0.99,4998488250,0,0,1,0,0.312
5475,SignalA,StrongGroup,09:32:53,13:20:00,timeExit,-355872,-3.56%,3h47m07s,玻纖布,12,1,1,,84.30,83.80,86.00,82.70,0.390,1.35,269342550,0,0,1,0,0.312
2345,SignalA,StrongGroup,09:31:45,13:20:00,timeExit,-8621,-0.09%,3h48m15s,網路通訊,5,1,1,,1160.00,1148.91,1180.00,1090.00,0.390,4.28,4375166950,1,0,1,0,0.312
5340,SignalA,StrongGroup,10:24:36,13:20:00,timeExit,-176991,-1.77%,2h55m24s,玻纖布,13,2,2,1815,67.80,67.43,68.40,66.50,0.390,1.26,547240355,0,0,1,0,0.312
6257,SignalA,StrongGroup,11:10:35,13:20:00,timeExit,-48309,-0.48%,2h09m25s,IC封測,9,1,1,,103.50,102.27,105.50,98.60,0.390,5.22,380377560,0,0,1,0,0.312
6781,SignalA,StrongGroup,09:39:48,13:20:00,timeExit,-260223,-2.60%,3h40m12s,BBU,7,1,1,,1345.00,1330.28,1350.00,1295.00,0.390,0.99,2216980750,0,1,1,0,0.312
5498,SignalA,StrongGroup,09:31:14,13:20:00,timeExit,209059,2.09%,3h48m46s,鑽孔,2,2,2,8021,28.70,28.44,28.90,27.20,0.390,3.10,383509182,0,0,1,1,0.312
8046,SignalA,StrongGroup,09:36:54,13:20:00,timeExit,-313589,-3.14%,3h43m06s,ABF,7,2,2,3037,287.00,283.90,288.00,280.00,0.390,1.40,2298838050,0,0,1,0,0.312
4989,SignalA,StrongGroup,09:32:37,13:20:00,timeExit,-243632,-2.44%,3h47m23s,CCL,8,2,2,8358,45.15,44.72,45.70,43.65,0.390,2.43,487870205,0,0,1,0,0.312
3037,SignalA,StrongGroup,09:34:47,13:20:00,timeExit,-341880,-3.42%,3h45m13s,ABF,7,1,1,,234.00,231.52,235.00,227.50,0.390,1.29,6428023550,0,0,1,0,0.312
3264,SignalA,StrongGroup,10:43:50,13:20:00,timeExit,-326198,-3.26%,2h36m10s,IC封測,9,2,2,6257,98.10,97.16,99.90,94.30,0.390,4.63,451951045,0,0,1,0,0.312
4979,SignalA,StrongGroup,09:31:38,13:20:01,timeExit,-746812,-7.47%,3h48m23s,CPO,10,2,2,4971,274.50,273.72,284.00,260.50,0.390,2.96,4832100350,0,0,1,0,0.312
3376,SignalA,StrongGroup,10:08:48,13:20:01,timeExit,-137300,-1.37%,3h11m13s,軸承,3,1,1,,218.50,216.53,224.50,206.00,0.390,5.31,574056950,0,0,1,0,0.312
3211,SignalA,StrongGroup,09:39:20,13:20:01,timeExit,392857,3.93%,3h40m41s,BBU,8,2,2,6781,280.00,277.88,282.00,272.00,0.390,3.13,1160710575,0,0,1,0,0.312
3529,SignalA,StrongGroup,09:38:00,13:20:08,timeExit,-356234,-3.56%,3h42m08s,設計IP,13,2,2,3443,1965.00,1948.86,1965.00,1930.00,0.390,0.52,1353063750,0,0,1,0,0.312
4971,SignalA,StrongGroup,09:32:09,13:20:14,lockedLimitUp,343511,3.44%,3h48m05s,CPO,10,1,1,,262.00,259.46,268.50,246.50,0.390,2.57,1046712300,0,1,1,0,0.312
6291,SignalA,StrongGroup,09:33:22,13:23:22,lockedLimitUp,446927,4.47%,3h50m00s,IC設計,11,1,1,,179.00,177.19,181.00,170.00,0.390,0.77,219220825,0,0,1,0,0.312
